,_step,train/rewards/accuracies,train/logps/rejected,train/logits/rejected,_runtime,train/loss,train/grad_norm,train/rewards/margins,train/learning_rate,train/epoch,train/logps/chosen,train/rewards/chosen,train/logits/chosen,_timestamp,train/rewards/rejected,train/global_step
0,0,0.375,-80.1708984375,-0.473806232213974,61.358426867,0.7043,41.41304688644695,-0.02657107636332512,5.3191489361702125e-09,0.001068875676397889,-72.52117919921875,-0.016230136156082153,-0.4870505928993225,1740711484.0215077,0.01034094113856554,1
1,1,0.6875,-73.63436889648438,-0.5645174980163574,118.594361207,0.6885,42.08879143135983,-0.0005631409585475922,1.0638297872340425e-08,0.002137751352795778,-75.21163940429688,-0.0021673990413546562,-0.585478663444519,1740711541.2275367,-0.001604257384315133,2
2,2,0.6875,-85.48970031738281,-0.5231037735939026,178.47834625,0.697,44.58070631045432,0.013948355801403522,1.5957446808510635e-08,0.003206627029193667,-91.21743774414062,0.0020537571981549263,-0.5420963168144226,1740711601.1110773,-0.011894598603248596,3
3,3,0.5,-66.45990753173828,-0.5951277017593384,237.214313672,0.6983,43.54088936299219,-0.007560910657048225,2.127659574468085e-08,0.004275502705591556,-72.6298828125,-0.0027596261352300644,-0.512829065322876,1740711659.844942,0.004801283590495586,4
4,4,0.625,-54.68226623535156,-0.4568329453468323,296.174424251,0.6924,45.401089942808525,0.0006773860659450293,2.6595744680851062e-08,0.005344378381989445,-56.927093505859375,0.00474857073277235,-0.49734771251678467,1740711718.8126686,0.004071185365319252,5
5,5,0.625,-81.4980697631836,-0.5289866924285889,353.962246516,0.6905,41.68614956131625,0.000643774401396513,3.191489361702127e-08,0.006413254058387334,-82.70243835449219,0.00027447030879557133,-0.5605195760726929,1740711776.5989192,-0.00036930455826222897,6
6,6,0.3125,-95.1220474243164,-0.377605676651001,412.60631452,0.688,44.09394033776367,-0.001536309253424406,3.723404255319149e-08,0.007482129734785223,-94.41880798339844,-0.005566237960010767,-0.43190789222717285,1740711835.2428722,-0.004029928240925074,7
7,7,0.6875,-101.5150146484375,-0.47398650646209717,470.403808508,0.6955,58.16113271894658,0.007340228650718927,4.25531914893617e-08,0.008551005411183112,-100.10108184814453,0.002817189320921898,-0.5274503231048584,1740711893.0794554,-0.004523038398474455,8
8,8,0.5625,-73.2734375,-0.4813600182533264,528.600987768,0.6942,39.90925970098882,-0.006745557300746441,4.787234042553191e-08,0.009619881087581,-69.73291015625,0.0013083836529403925,-0.5667281746864319,1740711951.276707,0.008053941652178764,9
9,9,0.5625,-68.59366607666016,-0.5517908930778503,587.319330064,0.6943,44.506559727395896,-0.0032208473421633244,5.3191489361702123e-08,0.01068875676397889,-74.46144104003906,-0.005276346579194069,-0.6145078539848328,1740712009.994975,-0.0020554992370307446,10
10,10,0.375,-97.19762420654297,-0.5401099324226379,646.234255744,0.6966,47.51363579599961,0.00908716395497322,5.851063829787234e-08,0.011757632440376779,-91.23299407958984,0.0035544573329389095,-0.6776062250137329,1740712068.864572,-0.005532707087695599,11
11,11,0.5,-79.74362182617188,-0.5099760890007019,704.446363716,0.6929,46.76372085496319,0.0066519142128527164,6.382978723404254e-08,0.012826508116774668,-76.79814147949219,0.006327795796096325,-0.5067378878593445,1740712127.0839665,-0.00032411934807896614,12
12,12,0.5625,-84.95420837402344,-0.5104893445968628,763.33436717,0.689,46.769541508947476,0.017297489568591118,6.914893617021277e-08,0.013895383793172556,-81.7396240234375,0.008232326246798038,-0.5025652647018433,1740712185.9667838,-0.00906516332179308,13
13,13,0.25,-84.1738510131836,-0.4174349308013916,821.842326772,0.6932,43.57989757493798,-0.01832491159439087,7.446808510638298e-08,0.014964259469570446,-78.5432357788086,-0.01127014122903347,-0.4481053054332733,1740712244.4751892,0.007054769899696112,14
