,_step,train/logps/rejected,train/grad_norm,train/epoch,train/ref_logps/rejected,train/rewards/rejected,train/rewards/accuracies,train/losses/total,_runtime,train/loss,train/logps/chosen,train/losses/sft,_timestamp,train/losses/dpo,train/ref_logps/chosen,train/rewards/margins,train/global_step,train/learning_rate,train/rewards/chosen
0,0,-51.33769989013672,11.823368072509766,0.0,-51.33769989013672,0.0,0.0,0.6931471824645996,30.316506259,0.6931,-41.21428680419922,1.5551856756210327,1769713517.3532534,0.6931471824645996,-41.21428680419922,0.0,1,9.433962264150943e-09,0.0
1,1,-49.894996643066406,12.240202903747559,0.0,-49.894996643066406,0.0,0.0,0.6931471824645996,38.031455568,0.6931,-38.006134033203125,1.5338764190673828,1769713525.0617497,0.6931471824645996,-38.006134033203125,0.0,2,1.8867924528301887e-08,0.0
2,2,-39.461334228515625,10.382441520690918,0.01,-39.4193115234375,-0.015242815017700195,0.75,0.6903003454208374,45.675477681,0.6924,-36.59525680541992,1.6213761568069458,1769713532.7067876,0.6903003454208374,-36.568790435791016,0.005787384230643511,3,2.830188679245283e-08,-0.009455431252717972
3,3,-46.05301284790039,10.888815879821777,0.01,-46.07299041748047,0.0028820992447435856,0.5,0.6937538981437683,53.448489307,0.6934,-42.540775299072266,1.955590844154358,1769713540.4795122,0.6937538981437683,-42.55675506591797,-0.0011454345658421516,4,3.7735849056603774e-08,0.001736664678901434
4,4,-41.05623245239258,10.836875915527344,0.01,-41.087860107421875,-0.009494399651885033,0.75,0.6874995231628418,61.089161308,0.6946,-33.1575927734375,1.4910290241241455,1769713548.1557462,0.6874995231628418,-33.16114044189453,0.01141347922384739,5,4.7169811320754715e-08,0.0019190787570551038
5,5,-40.23541259765625,10.760053634643555,0.01,-40.1999626159668,-0.0026346324011683464,0.25,0.6953052878379822,68.806492708,0.6929,-35.22122573852539,1.3073160648345947,1769713555.8358269,0.6953052878379822,-35.191307067871094,-0.00427514361217618,6,5.660377358490566e-08,-0.006909776479005814
6,6,-47.008548736572266,10.748481750488281,0.01,-46.98423385620117,0.005410933867096901,0.5,0.691711962223053,76.499501424,0.6906,-39.782127380371094,1.4112025499343872,1769713563.5351043,0.691711962223053,-39.81199264526367,0.003645228687673807,7,6.60377358490566e-08,0.00905616208910942
7,7,-34.52992248535156,9.930068969726562,0.02,-34.504844665527344,-0.0011680128518491983,0.5,0.6954994201660156,84.291442373,0.6919,-36.26063537597656,1.4988094568252563,1769713571.3197634,0.6954994201660156,-36.260826110839844,-0.0046645160764455795,8,7.547169811320755e-08,-0.0058325291611254215
8,8,-46.60071563720703,11.819600105285645,0.02,-46.61273956298828,0.0027772190514951944,0.75,0.6920901536941528,91.989537414,0.694,-41.54143524169922,1.309821367263794,1769713579.0561793,0.6920901536941528,-41.536865234375,0.0021947622299194336,9,8.490566037735848e-08,0.004971981048583984
9,9,-52.01614761352539,12.344474792480469,0.02,-52.05244827270508,0.02115178294479847,0.25,0.6967577934265137,99.849481791,0.6951,-45.95487976074219,1.3703712224960327,1769713586.8806508,0.6967577934265137,-45.95248794555664,-0.0071351537480950356,10,9.433962264150943e-08,0.01401662826538086
10,10,-45.44947052001953,10.371217727661133,0.02,-45.49925994873047,0.008067441172897816,0.25,0.6985616683959961,107.965447475,0.6941,-35.486167907714844,1.4748153686523438,1769713595.0037847,0.6985616683959961,-35.518497467041016,-0.010782122611999512,11,1.0377358490566037e-07,-0.0027146819047629833
11,11,-39.52326583862305,10.74813175201416,0.02,-39.582061767578125,0.020061684772372246,0.25,0.703273355960846,115.997463109,0.6984,-40.191287994384766,1.8948367834091187,1769713603.025301,0.703273355960846,-40.14665603637695,-0.02006397396326065,12,1.1320754716981131e-07,-2.2889580577611923e-06
12,12,-37.96211242675781,10.378883361816406,0.02,-37.95011901855469,-0.000856900354847312,1.0,0.6866617202758789,123.558696952,0.6919,-33.95582962036133,1.7295321226119995,1769713610.6252599,0.6866617202758789,-33.9697380065918,0.013014841824769974,13,1.2264150943396226e-07,0.012157941237092018
13,13,-44.38597106933594,10.972676277160645,0.03,-44.418212890625,-0.005463624373078346,0.5,0.6900031566619873,131.468496421,0.6959,-37.36314010620117,1.550647258758545,1769713618.4979947,0.6900031566619873,-37.34219741821289,0.0063954126089811325,14,1.320754716981132e-07,0.0009317875374108553
14,14,-41.194366455078125,11.322698593139648,0.03,-41.17167663574219,-0.009553194046020508,0.5,0.6890453100204468,139.138534408,0.6919,-35.96659851074219,1.0128799676895142,1769713626.1827703,0.6890453100204468,-35.9707145690918,0.00833275355398655,15,1.4150943396226414e-07,-0.001220440841279924
15,15,-41.43196487426758,10.407830238342285,0.03,-41.46410369873047,0.0013686416205018759,0.5,0.6882308721542358,147.077504852,0.6947,-36.81391143798828,1.4664525985717773,1769713634.1087198,0.6882308721542358,-36.816856384277344,0.010113787837326527,16,1.509433962264151e-07,0.01148243062198162
16,16,-34.04986572265625,9.955571174621582,0.03,-34.02033996582031,-0.0017868992872536182,0.5,0.6897346377372742,154.895479305,0.693,-30.51742935180664,1.6271545886993408,1769713641.9292543,0.6897346377372742,-30.49200439453125,0.006973516661673784,17,1.6037735849056602e-07,0.005186617374420166
17,17,-43.89902114868164,10.822677612304688,0.03,-43.90310287475586,0.008281707763671875,0.25,0.7010601758956909,162.489369915,0.6938,-35.4063835144043,1.7523283958435059,1769713649.5559108,0.7010601758956909,-35.399471282958984,-0.015703480690717697,18,1.6981132075471695e-07,-0.007421773858368397
18,18,-44.376495361328125,11.508818626403809,0.04,-44.420467376708984,0.010603619739413261,0.25,0.7043812870979309,170.440495114,0.6973,-42.264774322509766,1.5209583044052124,1769713657.478367,0.7043812870979309,-42.22704315185547,-0.022213220596313477,19,1.792452830188679e-07,-0.011609602719545364
19,19,-44.32773971557617,11.85166072845459,0.04,-44.344146728515625,0.004493874032050371,0.5,0.6924164295196533,178.171511543,0.6925,-36.3460693359375,1.7325453758239746,1769713665.2004836,0.6924164295196533,-36.376869201660156,0.0016437586164101958,20,1.8867924528301886e-07,0.006137633230537176
20,20,-41.974586486816406,10.719833374023438,0.04,-41.913108825683594,-0.005088090896606445,0.5,0.6889159679412842,185.802490741,0.6929,-34.341033935546875,1.7796152830123901,1769713672.8338969,0.6889159679412842,-34.286895751953125,0.008606398478150368,21,1.9811320754716982e-07,0.0035183073487132788
21,21,-48.429378509521484,11.535917282104492,0.04,-48.37164306640625,-0.0036244038492441177,0.5,0.6942863464355469,193.581328069,0.6941,-33.85758972167969,0.9941011667251587,1769713680.6478944,0.6942863464355469,-33.7825927734375,-0.0022550192661583424,22,2.0754716981132074e-07,-0.005879422649741173
22,22,-44.03112030029297,12.031418800354004,0.04,-44.052528381347656,0.008201956748962402,0.5,0.6933842897415161,201.329546303,0.6949,-39.08259582519531,1.5459372997283936,1769713688.367371,0.6933842897415161,-39.07056427001953,-0.00038983882404863834,23,2.169811320754717e-07,0.007812118157744408
23,23,-42.429840087890625,11.003987312316895,0.05,-42.43641662597656,0.005918741226196289,0.0,0.6988188624382019,209.328478142,0.694,-44.93025207519531,1.6477304697036743,1769713696.3569155,0.6988188624382019,-44.9205322265625,-0.011271107010543346,24,2.2641509433962263e-07,-0.005352365784347057
24,24,-50.981422424316406,12.758056640625,0.05,-50.95428466796875,0.006495046894997358,0.5,0.6962771415710449,217.165468197,0.692,-42.453758239746094,1.4586318731307983,1769713704.1972606,0.6962771415710449,-42.45298385620117,-0.006093358621001244,25,2.3584905660377358e-07,0.0004016880411654711
25,25,-42.82334899902344,10.828916549682617,0.05,-42.82341003417969,0.00909428671002388,0.25,0.7073231935501099,224.86883688,0.6963,-34.630577087402344,1.2403628826141357,1769713711.935417,0.7073231935501099,-34.57019805908203,-0.027798820286989212,26,2.452830188679245e-07,-0.018704533576965332
26,26,-39.74079513549805,11.763092994689941,0.05,-39.746612548828125,5.817413330078125e-05,0.0,0.6976931095123291,232.795641396,0.6949,-44.54064178466797,0.9862332344055176,1769713719.8307884,0.6976931095123291,-44.512508392333984,-0.009066986851394176,27,2.5471698113207547e-07,-0.009008812718093395
27,27,-41.53525924682617,10.623148918151855,0.05,-41.50056838989258,-0.007040905766189098,0.25,0.6954766511917114,240.627494239,0.693,-39.624107360839844,1.3566405773162842,1769713727.662053,0.6954766511917114,-39.593299865722656,-0.004630280192941427,28,2.641509433962264e-07,-0.011671185493469238
28,28,-37.53001403808594,9.866623878479004,0.05,-37.4592170715332,-0.0030284938402473927,0.25,0.6914547681808472,248.317458582,0.6904,-35.51324462890625,1.1020653247833252,1769713735.3532083,0.6914547681808472,-35.499412536621094,0.0034664932172745466,29,2.735849056603773e-07,0.00043799879495054483
29,29,-38.16685104370117,10.33299446105957,0.06,-38.11351776123047,0.004029786679893732,0.25,0.6969854235649109,256.218365787,0.6908,-37.10667037963867,1.122216820716858,1769713743.2849624,0.6969854235649109,-37.101051330566406,-0.0075643123127520084,30,2.830188679245283e-07,-0.0035345256328582764
30,30,-43.684967041015625,10.717161178588867,0.06,-43.69713592529297,0.003579569049179554,0.5,0.6911090016365051,263.853524181,0.6945,-45.741912841796875,1.7481944561004639,1769713750.8883185,0.6911090016365051,-45.728759765625,0.004181527998298407,31,2.9245283018867923e-07,0.007761097513139248
31,31,-46.18488693237305,11.211461067199707,0.06,-46.13092041015625,-4.148576408624649e-06,0.5,0.6875330209732056,271.654459005,0.69,-37.50480270385742,1.358047604560852,1769713758.6839995,0.6875330209732056,-37.51536560058594,0.011381150223314762,32,3.018867924528302e-07,0.01137700118124485
32,32,-42.83747863769531,10.693682670593262,0.06,-42.80486297607422,-0.004571794997900724,0.75,0.6893734931945801,279.273536141,0.6916,-31.67851448059082,1.3775335550308228,1769713766.3037126,0.6893734931945801,-31.677026748657227,0.007653713691979647,33,3.113207547169811e-07,0.0030819179955869913
33,33,-37.836944580078125,10.393906593322754,0.06,-37.857669830322266,0.0034095526207238436,0.25,0.7088391780853271,286.947675657,0.6969,-30.335214614868164,1.3434802293777466,1769713774.014298,0.7088391780853271,-30.281356811523438,-0.030962957069277763,34,3.2075471698113204e-07,-0.02755340375006199
34,34,-42.338768005371094,11.065825462341309,0.07,-42.28456497192383,-0.0042556761763989925,0.5,0.6929084658622742,294.64847876,0.691,-39.26483917236328,1.1446272134780884,1769713781.6875122,0.6929084658622742,-39.25533676147461,0.0006066923961043358,35,3.30188679245283e-07,-0.003648984245955944
35,35,-40.22178649902344,10.949545860290527,0.07,-40.14518737792969,0.0014805797254666686,0.75,0.6961685419082642,302.47647878,0.6892,-28.98474884033203,1.8391674757003784,1769713789.5116174,0.6961685419082642,-28.988887786865234,-0.005913377273827791,36,3.396226415094339e-07,-0.004432797431945801
36,36,-45.927101135253906,10.943370819091797,0.07,-45.80280303955078,-0.004080378916114569,0.25,0.7009792327880859,310.108514052,0.6901,-40.12333679199219,1.3672528266906738,1769713797.1437354,0.7009792327880859,-40.06165313720703,-0.015560043975710869,37,3.4905660377358486e-07,-0.019640423357486725
