,_step,_timestamp,train/logps/chosen,train/grad_norm,train/learning_rate,train/epoch,train/losses/dpo,train/losses/total,train/logps/answer,train/loss,train/losses/sft,_runtime,train/rewards/margins,train/rewards/chosen,train/rewards/rejected,train/rewards/accuracies,train/global_step,train/logps/rejected
0,0,1731434953.5625827,-1.2710163593292236,1.3863677978515625,0,0.0,0.4569859504699707,0.4569859504699707,-1.8902446031570435,0.457,1.271016240119934,20.431792248,1.0459232330322266,-2.5420327186584473,-3.587955951690674,1,1,-1.793977975845337
1,1,1731434955.8173406,-0.4285479784011841,2.0726208686828613,0,0.0,0.4452815651893616,0.4452815651893616,-0.5802913308143616,0.4453,0.4285479784011841,22.732362391,1.0781598091125488,-0.8570959568023682,-1.935255765914917,1,2,-0.9676278829574585
2,2,1731434958.1537664,-0.9973985552787781,0.658854067325592,0,0.0,0.18607951700687408,0.18607951700687408,-1.9506192207336426,0.1861,0.9973984956741333,25.022769816,2.087099075317383,-1.9947971105575562,-4.0818963050842285,1,3,-2.0409481525421143
3,5,1731434964.4569232,-1.8725844621658325,4.530009746551514,0,0.0,1.4445383548736572,1.4445383548736572,-2.0520551204681396,1.4445,1.8725844621658325,31.32585474,-0.6755406856536865,-3.745168924331665,-3.0696282386779785,0,6,-1.5348141193389893
4,6,1731434967.241994,-1.4873909950256348,1.1536011695861816,0,0.0,0.5383096933364868,0.5383096933364868,-1.4433770179748535,0.5383,1.4873909950256348,34.110971903,0.8381214141845703,-2.9747819900512695,-3.81290340423584,1,7,-1.90645170211792
5,7,1731434969.2273602,-1.6273354291915894,2.870222806930542,0,0.0,1.227055549621582,1.227055549621582,-1.431363821029663,1.2271,1.6273351907730103,36.096388407,-0.3801124095916748,-3.2546708583831787,-2.874558448791504,0,8,-1.437279224395752
6,8,1731434971.2261565,-1.4535866975784302,4.477891445159912,0,0.0,1.5752519369125366,1.5752519369125366,-1.3079160451889038,1.5753,1.4535869359970093,38.095119028,-0.8433761596679688,-2.9071733951568604,-2.0637972354888916,0,9,-1.0318986177444458
7,9,1731434973.226661,-0.7312528491020203,3.413975954055786,0,0.0,1.030408501625061,1.030408501625061,-0.5396934151649475,1.0304,0.7312528491020203,40.095766742,-0.08901393413543701,-1.4625056982040405,-1.3734917640686035,0,10,-0.6867458820343018
8,10,1731434975.2103117,-0.5712690949440002,2.648064374923706,0,0.0,1.0791056156158447,1.0791056156158447,-1.0659031867980957,1.0791,0.5712690353393555,42.12038744,-0.1637425422668457,-1.1425381898880005,-0.9787956476211548,0,11,-0.4893978238105774
9,11,1731434977.4390922,-0.8132547736167908,1.230412483215332,0,0.0,0.20189565420150757,0.20189565420150757,-1.0362300872802734,0.2019,0.8132546544075012,44.308056028,1.9973586797714233,-1.6265095472335815,-3.623868227005005,1,12,-1.8119341135025024
10,12,1731434979.5841048,-0.8507046103477478,2.083693265914917,0,0.0,0.3517506718635559,0.3517506718635559,-1.654545545578003,0.3518,0.8507044911384583,46.45316333,1.3638073205947876,-1.7014092206954956,-3.065216541290283,1,13,-1.5326082706451416
11,13,1731434981.575458,-0.8791572451591492,1.086846113204956,0,0.0,0.27576878666877747,0.27576878666877747,-1.0522340536117554,0.2758,0.8791571855545044,48.444455881,1.6471413373947144,-1.7583144903182983,-3.4054558277130127,1,14,-1.7027279138565063
12,14,1731434983.582542,-0.7900645136833191,1.807304859161377,0,0.0,0.6925408840179443,0.6925408840179443,-1.626185655593872,0.6925,0.7900645136833191,50.451487831,0.5012129545211792,-1.5801290273666382,-2.0813419818878174,1,15,-1.0406709909439087
13,15,1731434986.4830358,-2.0661470890045166,5.888265132904053,0,0.0,1.2046459913253784,1.2046459913253784,-1.8210391998291016,1.2046,2.0661473274230957,53.396437108,-0.34825944900512695,-4.132294178009033,-3.7840347290039062,0,16,-1.8920173645019531
14,16,1731434988.4916906,-1.3092048168182373,2.075112819671631,0,0.0,1.0879368782043457,1.0879368782043457,-1.3177542686462402,1.0879,1.3092049360275269,55.360644117,-0.17709112167358398,-2.6184096336364746,-2.4413185119628906,0,17,-1.2206592559814453
15,17,1731434990.497834,-1.2404671907424927,0.8427830338478088,0,0.0,0.4030633568763733,0.4030633568763733,-0.9670437574386597,0.4031,1.2404671907424927,57.366804307,1.2003698348999023,-2.4809343814849854,-3.6813042163848877,1,18,-1.8406521081924438
16,18,1731434992.6894739,-0.10210239142179489,1.4869998693466187,0,0.0,0.7084090113639832,0.7084090113639832,-0.4169735610485077,0.7084,0.10210239887237549,59.558425278,0.4697057604789734,-0.20420478284358978,-0.6739105582237244,1,19,-0.3369552791118622
17,19,1731434994.6947913,-1.9916019439697266,8.336418151855469,0,0.0,1.8643641471862793,1.8643641471862793,-1.80218505859375,1.8644,1.9916019439697266,61.608355572,-1.1959517002105713,-3.983203887939453,-2.787252187728882,0,20,-1.393626093864441
18,20,1731434996.7106156,-1.6385055780410767,2.128899097442627,0,0.0,0.6893752813339233,0.6893752813339233,-0.6284353137016296,0.6894,1.638505458831787,63.579593346,0.5075581073760986,-3.2770111560821533,-3.784569263458252,1,21,-1.892284631729126
19,24,1731435004.7352195,-1.5150458812713623,4.719384670257568,0,0.0,1.3598562479019165,1.3598562479019165,-1.3578381538391113,1.3599,1.5150457620620728,71.644434963,-0.5632038116455078,-3.0300917625427246,-2.466887950897217,0,25,-1.2334439754486084
20,25,1731435006.7483807,-1.1493664979934692,3.0532944202423096,0,0.0,0.7026244401931763,0.7026244401931763,-2.3690884113311768,0.7026,1.1493663787841797,73.617342977,0.48113441467285156,-2.2987329959869385,-2.77986741065979,1,26,-1.389933705329895
21,27,1731435011.2627208,-2.0684449672698975,4.374659538269043,0,0.0,1.6519709825515747,1.6519709825515747,-2.6471798419952393,1.652,2.0684449672698975,78.131642435,-0.9391839504241943,-4.136889934539795,-3.1977059841156006,0,28,-1.5988529920578003
22,29,1731435015.281719,-1.1986829042434692,2.1007847785949707,0,0.0,0.7895199060440063,0.7895199060440063,-2.035576105117798,0.7895,1.1986826658248901,82.19235608,0.3157312870025635,-2.3973658084869385,-2.713097095489502,1,30,-1.356548547744751
23,31,1731435019.285302,-1.2051043510437012,4.922486305236816,0,0.0,0.5972146987915039,0.5972146987915039,-1.8115686178207397,0.5972,1.2051044702529907,86.154286753,0.7020540237426758,-2.4102087020874023,-3.112262725830078,1,32,-1.556131362915039
24,32,1731435021.274411,-0.6971185207366943,2.3203930854797363,0,0.0,0.49951714277267456,0.49951714277267456,-1.228546380996704,0.4995,0.6971185803413391,88.143371666,0.9339797496795654,-1.3942370414733887,-2.328216791152954,1,33,-1.164108395576477
25,33,1731435023.2884445,-1.233407735824585,1.365795373916626,0,0.0,0.2930692136287689,0.2930692136287689,-2.005017042160034,0.2931,1.233407735824585,90.15740012,1.5772356986999512,-2.46681547164917,-4.044051170349121,1,34,-2.0220255851745605
26,34,1731435025.3056605,-0.8694760203361511,1.968863844871521,0,0.0,0.5183954834938049,0.5183954834938049,-0.7029883861541748,0.5184,0.8694760203361511,92.216396084,0.8866468667984009,-1.7389520406723022,-2.625598907470703,1,35,-1.3127994537353516
27,35,1731435027.325123,-1.7249306440353394,1.5159111022949219,0,0.0,0.4302181005477905,0.4302181005477905,-1.290612816810608,0.4302,1.7249306440353394,94.194177501,1.1206538677215576,-3.4498612880706787,-4.570515155792236,1,36,-2.285257577896118
28,36,1731435029.355283,-1.760852336883545,4.735783100128174,0,0.0,1.3016048669815063,1.3016048669815063,-1.9487004280090332,1.3016,1.7608522176742554,96.224323986,-0.484020471572876,-3.52170467376709,-3.037684202194214,0,37,-1.518842101097107
29,38,1731435033.3892572,-1.675693392753601,3.854278087615967,0,0.0,1.5471508502960205,1.5471508502960205,-1.5795034170150757,1.5472,1.675693392753601,100.258222412,-0.8078098297119141,-3.351386785507202,-2.543576955795288,0,39,-1.271788477897644
30,39,1731435035.4074118,-0.5339818596839905,1.7124675512313843,0,0.0,0.3881499171257019,0.3881499171257019,-0.5138920545578003,0.3881,0.5339818596839905,102.320357459,1.2460190057754517,-1.067963719367981,-2.3139827251434326,1,40,-1.1569913625717163
